Trial Number,Actual flavor,Perceived flavor,Ate an orange
1,Lemon,Pamplemousse,0
2,Pamplemousse,Pamplemousse,0
3,Lemon,Lemon,0
4,Lemon,Lemon,0
5,Pamplemousse,Pamplemousse,0
6,Lemon,Lemon,0
7,Pamplemousse,Pamplemousse,0
8,Pamplemousse,Lemon,0
9,Pamplemousse,Pamplemousse,0
10,Lemon,Lemon,0
11,Lemon,Lemon,0
12,Lemon,Lemon,0
13,Lemon,Lemon,0
14,Lemon,Pamplemousse,0
15,Pamplemousse,Pamplemousse,0
16,Pamplemousse,Pamplemousse,0
17,Lemon,Lemon,0
18,Lemon,Lemon,0
19,Lemon,Pamplemousse,0
20,Pamplemousse,Lemon,0
21,Lemon,Lemon,1
22,Lemon,Lemon,1
23,Pamplemousse,Lemon,1
24,Lemon,Lemon,1
25,Pamplemousse,Pamplemousse,1
26,Lemon,Lemon,1
27,Pamplemousse,Pamplemousse,1
28,Lemon,Lemon,1
29,Lemon,Lemon,1
30,Pamplemousse,Pamplemousse,1
31,Lemon,Lemon,1
32,Pamplemousse,Pamplemousse,1
33,Lemon,Lemon,1
34,Lemon,Lemon,1
35,Lemon,Lemon,1
36,Pamplemousse,Pamplemousse,1
37,Pamplemousse,Pamplemousse,1
38,Pamplemousse,Pamplemousse,1
39,Lemon,Lemon,1
40,Lemon,Lemon,1
